question_id,scene_id,image_path,question_type,question,choice_a,choice_b,choice_c,choice_d,answer_label,difficulty,visibility,layout_family,ood_axis,trace_dominant_particle_family,trace_hotspot_quadrant,trace_fiber_tint,trace_bead_count,trace_bead_count_bin,trace_clogging_state,trace_qc_action,trace_density_index
mpq_c3c470644e8670,mem_scene_00000,images/mem_scene_00000.png,dominant_particle_family,Which suspicious particle family is most common in this membrane field?,fibers,fragments,beads,films,A,easy,clear,hotspot_upper_left,standard,fibers,upper_left,blue,7,0-12,open pores,count now,77
mpq_d15a62eba9bb06,mem_scene_00000,images/mem_scene_00000.png,hotspot_quadrant,Which quadrant contains the densest suspicious-particle hotspot?,upper left,upper right,lower left,lower right,A,easy,clear,hotspot_upper_left,standard,fibers,upper_left,blue,7,0-12,open pores,count now,77
mpq_7ba451740eddcf,mem_scene_00000,images/mem_scene_00000.png,fiber_tint,What tint is most common among the visible fibers?,blue,red,black,clear or pale,A,easy,clear,hotspot_upper_left,standard,fibers,upper_left,blue,7,0-12,open pores,count now,77
mpq_46edd09a7c55a0,mem_scene_00000,images/mem_scene_00000.png,bead_count,How many round bead-like microplastic particles are visible?,0-12,13-18,19-24,25 or more,A,easy,clear,hotspot_upper_left,standard,fibers,upper_left,blue,7,0-12,open pores,count now,77
mpq_d5bf274b573a51,mem_scene_00000,images/mem_scene_00000.png,clogging_state,Which membrane clogging pattern best describes this field?,open pores,light edge clogging,central mat clogging,patchy multi-zone clogging,A,easy,clear,hotspot_upper_left,standard,fibers,upper_left,blue,7,0-12,open pores,count now,77
mpq_e94db220c31e50,mem_scene_00000,images/mem_scene_00000.png,qc_action,What is the best next triage action for this field of view?,count now,reimage focus,dilute and refilter,manual review,A,easy,clear,hotspot_upper_left,standard,fibers,upper_left,blue,7,0-12,open pores,count now,77
mpq_0c6b7ded8bd44a,mem_scene_00001,images/mem_scene_00001.png,dominant_particle_family,Which suspicious particle family is most common in this membrane field?,fibers,fragments,beads,films,B,medium,clear,hotspot_upper_left,standard,fragments,upper_left,blue,6,0-12,open pores,count now,89
mpq_e7a56b9091adb4,mem_scene_00001,images/mem_scene_00001.png,hotspot_quadrant,Which quadrant contains the densest suspicious-particle hotspot?,upper left,upper right,lower left,lower right,A,medium,clear,hotspot_upper_left,standard,fragments,upper_left,blue,6,0-12,open pores,count now,89
mpq_43e6da1e2e650e,mem_scene_00001,images/mem_scene_00001.png,fiber_tint,What tint is most common among the visible fibers?,blue,red,black,clear or pale,A,medium,clear,hotspot_upper_left,standard,fragments,upper_left,blue,6,0-12,open pores,count now,89
mpq_d0d75bb04c651f,mem_scene_00001,images/mem_scene_00001.png,bead_count,How many round bead-like microplastic particles are visible?,0-12,13-18,19-24,25 or more,A,medium,clear,hotspot_upper_left,standard,fragments,upper_left,blue,6,0-12,open pores,count now,89
mpq_9a07bb4af6eb7e,mem_scene_00001,images/mem_scene_00001.png,clogging_state,Which membrane clogging pattern best describes this field?,open pores,light edge clogging,central mat clogging,patchy multi-zone clogging,A,medium,clear,hotspot_upper_left,standard,fragments,upper_left,blue,6,0-12,open pores,count now,89
mpq_d04bbb9b6b21a7,mem_scene_00001,images/mem_scene_00001.png,qc_action,What is the best next triage action for this field of view?,count now,reimage focus,dilute and refilter,manual review,A,medium,clear,hotspot_upper_left,standard,fragments,upper_left,blue,6,0-12,open pores,count now,89
mpq_e3376eb14e1d86,mem_scene_00002,images/mem_scene_00002.png,dominant_particle_family,Which suspicious particle family is most common in this membrane field?,fibers,fragments,beads,films,C,easy,clear,hotspot_upper_left,standard,beads,upper_left,blue,6,0-12,open pores,count now,76
